Security Policy: KRIS10-PUBFW-Rule	-
-	Host_172.22.112.108
-	Host_172.22.112.109
63	Host_172.22.198.28
-	-
-	-
64	L4_172.22.198.32
-	L4_172.22.198.33
-	L4_172.22.198.38
-	L4_172.22.198.45
-	L4_172.22.198.34
-	L4_172.22.198.39
-	L4_172.22.198.46
-	L4_172.22.206.19
-	L4_172.22.198.92
-	L4_172.22.198.93
-	Host_172.22.198.77
-	L4_172.22.198.103
65	L4_172.22.198.94
-	L4_172.22.198.95
-	L4_172.22.198.97
-	L4_172.22.198.100
-	Host_172.22.193.200
-	Host_172.22.193.201
-	Host_172.22.193.203
-	Host_172.22.193.205
-	Host_172.22.193.119
-	Host_172.22.193.199
-	Host_172.22.193.153
-	Host_172.22.193.53
-	L4_172.22.198.109
-	Host_172.22.198.108
66	L4_172.22.198.100
-	-
-	-
-	-
-	-
67	Host_211.181.254.220
-	Host_218.153.84.43
-	-
68	L4_172.22.198.97
-	Host_172.22.193.203
69	Host_172.22.198.26
-	Host_172.22.198.27
70	L4_172.22.198.51
71	Host_172.22.198.28
-	Host_172.22.198.29
-	Host_172.22.193.54
-	L4_172.22.198.38
72	Host_172.22.198.25
-	-
-	-
73	Host_172.22.201.76
-	Host_172.22.201.77
-	Host_172.22.201.78
74	Host_172.22.198.65
-	Host_172.22.198.66
-	Host_172.22.198.67
-	Host_172.22.198.70
75	Host_172.22.198.71
-	Host_172.22.198.72
-	-
76	L4_172.22.198.55
-	-
77	L4_172.22.198.55
-	-
78	L4_172.22.198.61
-	L4_172.22.198.57
-	L4_172.22.198.63
-	L4_172.22.198.64
-	L4_172.22.198.34
-	L4_172.22.198.32
-	L4_172.22.198.33
-	L4_172.22.198.45
-	L4_172.22.198.52
-	L4_172.22.198.59
-	L4_172.22.198.60
-	L4_172.22.198.89
-	L4_172.22.198.101
-	Host_172.22.195.31
-	Host_172.22.195.32
-	Host_172.22.195.33
-	Host_172.22.195.34
-	Host_172.22.195.36
-	Host_172.22.195.37
-	Host_172.22.195.38
-	Host_172.22.195.39
-	Host_172.22.195.40
-	Host_172.22.195.41
-	Host_172.22.195.42
-	Host_172.22.195.43
-	Host_172.22.195.44
-	Host_172.22.195.45
-	Host_172.22.195.46
-	Host_172.22.195.47
-	Host_172.22.195.68
-	L4_172.22.198.37
-	L4_172.22.198.47
-	L4_172.22.198.48
-	L4_172.22.198.49
-	L4_172.22.198.81
-	L4_172.22.198.87
-	L4_172.22.198.88
-	L4_172.22.198.92
-	L4_172.22.198.93
-	L4_172.22.198.103
-	L4_172.22.198.132
-	L4_172.22.198.134
-	L4_172.22.198.135
79	L4_172.22.198.85
80	Any
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
81	L4_172.22.198.127
-	L4_172.22.198.129
82	L4_172.22.198.109
-	L4_172.22.198.138
83	Host_172.22.198.75
-	-
-	-
-	-
-	-
-	-
-	-
84	L4_172.22.198.124
-	Host_172.22.193.214
85	Host_172.22.193.199
-	-
86	Host_172.22.193.199
-	-
87	L4_172.22.198.115
-	L4_172.22.198.116
-	-
-	-
-	-
-	-
-	-
88	L4_172.22.198.114
-	L4_172.22.198.111
-	L4_172.22.198.120
-	-
-	-
-	-
-	-
89	L4_172.22.198.117
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
90	L4_172.22.198.132
-	-
-	-
91	L4_172.22.198.140
-	-
92	L4_172.22.198.126
93	L4_172.22.198.143
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
94	L4_172.22.198.142
-	L4_172.22.198.144
-	Host_172.22.196.181
-	Host_172.22.196.182
-	Host_172.22.196.187
-	-
-	-
-	-
95	Host_172.22.112.32
-	Host_172.22.112.34
96	Host_172.22.197.117
-	Host_172.22.197.119
97	L4_172.22.198.133
-	-
-	-
98	Host_211.234.113.27
-	Host_218.39.66.16
-	Host_216.58.220.202
-	Host_216.58.220.170
-	Host_216.58.220.234
-	Host_216.58.221.10
99	Host_172.22.196.125
-	Host_172.22.196.127
-	Host_112.108.7.102
-	Host_112.108.7.103
100	Host_172.22.198.108
-	Host_172.22.193.166
-	-
-	-
-	-
101	Net_107.0.0.0
-	Net_52.0.0.0
-	Net_54.0.0.0
-	-
102	Host_172.22.193.67
-	Host_172.22.193.68
-	Host_172.22.193.69
103	Host_172.22.193.69
-	-
104	L4_172.22.198.157
-	L4_172.22.198.158
-	L4_172.22.198.159
105	L4_172.22.198.42
-	-
106	L4_172.22.198.146
-	L4_172.22.198.148
-	L4_172.22.198.151
107	L4_172.22.198.156
108	L4_172.22.198.36
-	-
109	Host_172.22.198.108
-	-
110	Host_172.22.112.199
-	L4_172.22.198.163
111	Host_172.22.196.185
-	Host_172.22.196.121
-	Host_172.22.196.122
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
112	Host_210.118.57.121
113	Host_172.22.198.170
-	-
114	Host_172.22.198.75
-	-
115	Host_172.22.198.170
116	L4_172.22.198.112
117	L4_172.22.198.172
118	Host_172.22.112.108
-	Host_172.22.112.109
-	-
-	-
119	L4_172.22.198.53
-	-
120	Host_172.22.112.103
-	-
121	Host_172.22.112.104
-	Host_172.22.112.106
-	Host_172.22.112.109
-	Host_172.22.193.199
-	Host_172.22.193.153
-	Host_172.22.193.53
122	L4_172.22.198.145
-	L4_172.22.198.149
Firewall Request (WAS -> Internet)	-
123	Host_121.131.196.200
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
124	Host_59.13.0.15
-	Host_59.13.0.4
-	Host_220.103.245.80
-	-
125	Any
-	-
-	-
-	-
126	Any
-	-
-	-
-	-
-	-
-	-
127	Host_74.125.23.95
-	-
-	-
128	Any
-	-
-	-
-	-
-	-
-	-
-	-
-	-
129	Any
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
130	Host_210.181.96.14
-	Host_210.181.96.15
131	Any
-	-
-	-
-	-
132	Host_220.73.141.165
-	Host_220.103.249.70
-	Host_220.64.130.142
-	Host_220.103.245.197
-	Host_211.45.35.19
-	Host_211.45.35.39
-	Host_211.234.106.40
-	Host_61.250.21.140
-	Host_54.64.245.182
-	Host_222.231.7.232
-	Host_121.254.254.14
-	Host_1.229.217.132
-	Host_112.175.17.175
-	Host_112.175.17.170
-	Host_112.175.17.171
-	Host_112.175.17.172
-	Host_112.175.17.173
-	Host_112.175.17.174
-	Host_211.45.45.100
-	-
-	-
-	-
-	-
-	-
-	-
-	-
133	Host_208.73.210.178
-	Host_208.73.210.200
-	Host_208.73.210.214
-	Host_208.73.210.217
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
134	Net_168.126.63.0
-	Net_110.45.143.0
-	Net_115.68.42.0
-	Net_183.111.159.0
-	Net_17.110.0.0
-	-
-	-
-	-
-	-
-	-
-	-
-	-
135	Host_103.11.131.121
-	Host_118.221.121.6
-	Host_165.244.88.143
-	Host_168.154.220.85
-	Host_61.250.23.71
-	Host_61.250.23.72
-	Host_210.122.73.15
-	Host_210.122.73.50
-	Host_115.68.46.130
-	Host_61.250.23.73
-	Host_119.205.200.77
-	Host_112.108.7.130
-	Host_222.122.31.120
-	Host_110.45.247.186
-	Host_115.68.42.194
-	Host_183.110.234.78
-	Host_173.194.126.224
-	Host_17.172.233.143
-	Host_17.172.233.18
-	Host_74.125.203.95
-	Host_119.205.200.113
-	Host_218.39.66.16
-	Host_117.52.81.52
-	Host_121.162.155.160
-	Host_116.124.129.9
-	Host_118.107.175.139
-	Host_118.107.175.140
-	Host_211.250.131.137
-	Host_203.238.182.7
-	Host_203.247.132.94
-	Host_210.122.73.180
-	Host_211.41.109.57
-	Host_61.251.167.3
-	Host_211.200.15.163
-	Host_218.39.66.19
-	Host_220.64.140.225
-	Host_210.218.249.196
-	Host_210.218.249.201
-	Host_14.0.85.133
-	Host_43.255.252.136
-	Host_14.63.160.117
136	Host_203.235.201.225
-	Host_203.235.204.206
-	Host_203.235.206.134
-	Host_203.235.206.143
-	Host_203.235.206.147
-	Host_203.235.206.155
-	Host_203.235.206.167
-	Host_203.235.206.187
-	Host_203.235.206.222
-	Host_203.235.206.235
-	Host_203.235.206.249
-	Host_203.235.206.37
-	Host_203.235.206.36
-	Host_203.235.200.101
-	Host_203.235.206.140
-	Host_203.235.206.221
-	Host_203.235.206.194
-	Host_203.235.206.142
-	Host_203.235.206.195
-	Host_203.235.206.208
-	Host_203.235.206.209
-	Host_203.235.206.162
-	Host_203.235.201.35
-	Host_203.235.201.251
-	Host_203.235.202.86
-	Host_203.235.206.135
-	Host_203.235.202.134
-	Host_203.235.206.212
